t(h),CO2_air(mg m^-3),CO2_top(mg m^-3),VP_air(Pa),Vp_top(Pa)
89,492.4130542,492.2007738,4310.661944,4255.4724
,,,,
90,489.9494742,489.7449488,3938.025987,3947.172658
,,,,
91,487.2975228,487.1330946,3567.304451,3576.910053
,,,,
92,484.9999253,484.8844614,3246.757013,3257.023802
,,,,
93,486.6392747,486.5700225,2857.89124,2868.367174
,,,,
94,488.4610192,488.3894167,2885.703493,2895.703738
,,,,
95,492.5224181,492.5053027,2772.10371,2782.746024
,,,,
96,496.0919926,496.0773103,2660.128981,2670.259915
,,,,
97,498.0913355,498.0788728,2579.564265,2589.6257
,,,,
98,499.1073011,499.0949976,2549.777391,2559.507704
,,,,
99,497.626044,497.5805374,2477.142427,2486.426794
,,,,
100,495.1310457,495.0757487,2467.084401,2476.104269
,,,,
101,492.1373406,492.067377,2408.868778,2417.361878
,,,,
102,489.9223654,489.8594068,2537.176418,2546.287674
,,,,
103,489.4731348,489.4252993,2569.556715,2579.004701
,,,,
104,487.9040819,487.7948973,2863.316063,2872.232814
,,,,
105,485.8624626,485.7400499,2968.898125,2978.481598
,,,,
106,483.5379618,483.4028857,2982.450907,2991.364372
,,,,
107,480.0634272,479.8848455,3186.131139,3194.849167
,,,,
108,477.3729968,477.1989087,3250.225934,3258.674382
,,,,
109,476.1949776,476.0580349,3093.77805,3103.107408
,,,,
110,477.0396579,476.8711672,3433.397036,3442.942101
,,,,
111,476.330552,476.14806,3403.213845,3411.964408
,,,,
112,475.4349161,475.2397469,3494.637553,3503.605215
,,,,
113,474.8989372,474.7435008,3563.266526,3572.850609
,,,,
114,476.2933928,476.093387,3657.717563,3665.77563
,,,,
115,474.8833574,474.7002464,3270.219891,3278.465649
,,,,
116,473.4297286,473.2859884,3015.042117,3024.195363
,,,,
117,473.9433703,473.8410911,2780.392289,2789.647102
,,,,
118,476.4588959,476.352808,2872.988002,2882.463411
,,,,
119,479.7898927,479.6900291,2800.161476,2809.424451
,,,,
120,480.4354077,480.335635,2756.949967,2766.43595
,,,,
121,479.1771763,479.0437883,2717.070198,2725.885967
,,,,
122,478.648347,478.5514675,2668.642899,2677.872125
,,,,
123,478.5812954,478.4826004,2675.942575,2685.22338
,,,,
124,477.8477477,477.7275134,2627.576307,2636.352747
,,,,
125,477.6183326,477.5218238,2595.518801,2604.519933
,,,,
126,479.8722387,479.7967132,2569.093491,2578.185663
,,,,
127,480.3689709,480.2805624,2577.55132,2586.373726
,,,,
128,480.8229731,480.7326351,2676.828473,2685.706413
,,,,
129,480.8949202,480.7789511,2807.013743,2816.087142
,,,,
130,480.153729,480.0388708,2809.758264,2818.650663
,,,,
131,479.177516,479.0451795,2853.300944,2862.227243
,,,,
132,478.4253781,478.2918677,3030.775438,3040.07021
,,,,
133,478.253114,478.0574063,3364.321606,3372.909611
,,,,
134,476.3648969,476.1584131,3375.472077,3383.74436
,,,,
135,475.5911598,475.4245271,3679.036114,3689.149304
,,,,
136,475.6572151,475.4572397,3462.406407,3471.223835
,,,,
137,474.7055449,474.524624,3293.772511,3303.023882
,,,,
138,470.3376246,470.1146572,3152.983698,3159.790271
,,,,
139,468.5806058,468.4070732,3028.227802,3036.248813
,,,,
140,468.5636704,468.3875319,2892.058145,2899.949487
,,,,
141,469.8802676,469.7428061,2755.443391,2763.94085
,,,,
142,471.4136448,471.2806867,2792.548043,2801.223477
,,,,
143,472.6696619,472.5413221,2775.405581,2784.406961
,,,,
144,473.7820194,473.6609158,2774.434106,2783.673566
,,,,
145,475.762841,475.647381,2781.701644,2790.881701
,,,,
146,476.4344198,476.3177027,2765.104013,2774.29209
,,,,
147,476.6830828,476.5662274,2765.414546,2774.763672
,,,,
148,478.2771587,478.1917621,2760.609584,2770.425765
,,,,
149,481.3152689,481.2391134,2749.104771,2759.013295
,,,,
150,483.3231343,483.2455317,2717.61575,2727.470502
,,,,
151,483.698302,483.6051278,2661.75418,2671.246449
,,,,
152,483.0007831,482.9079038,2721.584815,2731.242851
,,,,
153,483.2151081,483.0958438,2821.684772,2830.928751
,,,,
154,483.5050246,483.4095931,2923.203108,2933.411568
,,,,
155,485.0366884,484.95267,2967.605109,2978.183031
,,,,
156,487.6874303,487.5817894,3301.026292,3311.921199
,,,,
157,488.7080273,488.6135734,3769.031759,3779.799185
,,,,
158,493.2635952,493.1148761,4147.195486,4158.718302
,,,,
159,495.5547065,495.3582657,4074.624768,4084.917814
,,,,
160,495.4521971,495.3042219,3991.207299,4003.729442
,,,,
161,495.4385078,495.3086093,3762.267981,3774.767656
,,,,
162,494.7508448,494.6224087,3547.659393,3558.863278
,,,,
163,495.8279012,495.7357238,3435.675455,3447.694809
,,,,
164,494.437727,494.3325968,3208.036434,3219.029146
,,,,
165,492.9392795,492.8732813,2869.30676,2879.331436
,,,,
166,492.3316244,492.2503634,2956.686419,2967.066385
,,,,
167,492.1653233,492.1438568,2882.324479,2893.449966
